"Date","Tmax","Tmin","Sun","Rain","TmaxAvg","RainyDays"
06/06/84,32.2,20.6,569,0,29,0
06/07/84,31.7,21.1,567,0,30.32,0
06/08/84,31.7,19.4,743,0,30.78,0
06/09/84,31.7,19.4,782,0,30.68,0
06/10/84,31.1,17.8,873,0,31.46,0
06/11/84,32.2,19.4,866,0,31.68,0
06/12/84,32.2,20,835,0,31.68,0
06/13/84,32.2,18.9,874,0,31.78,0
06/14/84,32.8,20.6,731,0,31.88,0
06/15/84,31.1,20,740,0,32.1,0
06/16/84,28.3,19.4,131,1,32.1,0
06/17/84,30.6,19.4,144,1,31.32,1
06/18/84,33.3,20,462,0,31,2
06/19/84,34.4,21.1,372,1,31.22,2
06/20/84,31.1,20,224,1,31.54,3
06/21/84,27.8,19.4,167,0,31.54,4
06/22/84,28.3,17.8,723,0,31.44,3
06/23/84,28.3,16.7,455,0,30.98,2
06/24/84,26.7,18.9,285,1,29.98,2
06/25/84,30,16.1,772,0,28.44,2
06/26/84,30,13.3,868,0,28.22,1
06/27/84,31.1,15.6,708,0,28.66,1
06/28/84,30.6,17.8,414,1,29.22,1
06/29/84,28.9,16.1,235,1,29.68,2
06/30/84,29.4,18.9,522,1,30.12,2
07/01/84,28.9,17.8,787,0,30,3
07/02/84,28.9,18.9,498,1,29.78,3
07/03/84,30,17.8,801,0,29.34,4
07/04/84,31.1,19.4,629,0,29.22,3
07/05/84,31.7,19.4,460,1,29.66,2
07/06/84,29.4,19.4,347,1,30.12,2
07/07/84,30.6,20.6,595,1,30.22,3
07/08/84,25,13.3,812,0,30.56,3
07/09/84,27.2,11.7,657,0,29.56,3
07/10/84,31.1,20,473,0,28.78,3
07/11/84,34.4,21.7,704,0,28.66,2
07/12/84,32.8,22.8,572,1,29.66,1
07/13/84,27.8,20.6,97,1,30.1,1
07/14/84,29.4,20.6,251,1,30.66,2
07/15/84,30.6,19.4,341,0,31.1,3
07/16/84,29.4,20,122,1,31,3
07/17/84,26.7,20,45,1,30,4
07/18/84,27.8,18.9,267,1,28.78,4
07/19/84,28.9,17.8,730,1,28.78,4
07/20/84,28.9,18.9,474,0,28.68,4
07/21/84,27.8,18.9,496,1,28.34,4
07/22/84,25.6,20,155,1,28.02,4
07/23/84,29.4,20,450,1,27.8,4
07/24/84,31.7,20.6,559,1,28.12,4
07/25/84,30,21.7,423,1,28.68,4
07/26/84,30,20,362,1,28.9,5
07/27/84,30,19.4,284,1,29.34,5
07/28/84,23.3,18.9,50,1,30.22,5
07/29/84,19.4,17.2,0,1,29,5
07/30/84,25,17.2,206,0,26.54,5
07/31/84,23.9,18.3,40,1,25.54,4
08/01/84,30.6,22.8,329,1,24.32,4
08/02/84,31.1,21.7,433,1,24.44,4
08/03/84,32.8,22.2,676,0,26,4
08/04/84,32.8,21.7,802,0,28.68,3
08/05/84,32.8,21.1,762,0,30.24,3
08/06/84,32.8,21.1,712,0,32.02,2
08/07/84,32.8,22.2,718,0,32.46,1
08/08/84,32.2,20.6,566,0,32.8,0
08/09/84,32.8,21.7,451,0,32.68,0
08/10/84,30,21.7,94,1,32.68,0
08/11/84,30,21.1,80,1,32.12,1
08/12/84,29.4,20,200,1,31.56,2
08/13/84,29.4,21.7,227,1,30.88,3
08/14/84,30.6,22.2,364,1,30.32,4
08/15/84,30.6,21.7,606,0,29.88,5
08/16/84,31.7,18.9,658,0,30,4
08/17/84,30.6,18.3,673,0,30.34,3
08/18/84,30.6,18.9,526,1,30.58,2
08/19/84,29.4,20,607,1,30.82,2
08/20/84,27.8,18.3,739,0,30.58,2
08/21/84,27.8,14.4,765,0,30.02,2
08/22/84,29.4,15,772,0,29.24,2
08/23/84,30,16.7,496,1,29,2
08/24/84,27.8,17.8,656,1,28.88,2
08/25/84,27.2,15,719,0,28.56,2
08/26/84,27.8,13.3,777,0,28.44,2
08/27/84,28.3,14.4,722,0,28.44,2
08/28/84,28.3,17.8,583,1,28.22,2
08/29/84,28.9,18.9,459,1,27.88,2
08/30/84,30.6,18.9,646,1,28.1,2
08/31/84,29.4,17.8,712,1,28.78,3
06/06/85,28.3,18.9,501,1,32.34,1
06/07/85,25,18.9,404,1,31.44,2
06/08/85,28.3,17.2,713,1,30.22,3
06/09/85,32.2,17.2,868,0,29.66,4
06/10/85,34.4,21.1,692,0,29.54,4
06/11/85,32.8,21.7,646,1,29.64,3
06/12/85,29.4,16.7,536,1,30.54,3
06/13/85,23.9,11.1,837,0,31.42,3
06/14/85,25.6,7.8,809,0,30.54,2
06/15/85,28.9,14.4,628,1,29.22,2
06/16/85,27.2,18.3,263,1,28.12,3
06/17/85,31.1,17.8,769,0,27,3
06/18/85,31.1,20,490,1,27.34,2
06/19/85,28.3,18.9,462,1,28.78,3
06/20/85,27.8,15,783,0,29.32,4
06/21/85,28.9,13.9,797,0,29.1,3
06/22/85,29.4,16.7,679,0,29.44,2
06/23/85,30,17.8,592,0,29.1,2
06/24/85,32.8,19.4,702,0,28.88,1
06/25/85,30.6,19.4,740,0,29.78,0
06/26/85,30,18.3,825,0,30.34,0
06/27/85,25,11.7,689,0,30.56,0
06/28/85,27.8,13.3,626,0,29.68,0
06/29/85,28.9,17.2,278,1,29.24,0
06/30/85,22.8,19.4,0,1,28.46,1
07/01/85,20,18.3,0,1,26.9,2
07/02/85,27.8,18.9,510,1,24.9,3
07/03/85,30,16.1,635,0,25.46,4
07/04/85,31.7,18.3,577,1,25.9,4
07/05/85,29.4,19.4,449,1,26.46,4
07/06/85,28.9,20,359,1,27.78,4
07/07/85,30.6,19.4,501,1,29.56,4
07/08/85,32.2,17.2,781,0,30.12,4
07/09/85,32.8,19.4,572,0,30.56,4
07/10/85,35,19.4,700,1,30.78,3
07/11/85,31.7,20,568,0,31.9,3
07/12/85,32.2,20,518,0,32.46,2
07/13/85,33.3,18.9,695,1,32.78,1
07/14/85,30,19.4,417,0,33,2
07/15/85,32.8,20,499,0,32.44,2
07/16/85,32.8,20.6,283,1,32,1
07/17/85,27.8,21.1,457,0,32.22,2
07/18/85,30,18.9,585,0,31.34,2
07/19/85,31.7,16.7,840,0,30.68,1
07/20/85,33.3,20.6,805,0,31.02,1
